Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-08,36.74247452602407,36.81110622282569,36.541306554330745,36.68094253540039,85003200,0.0,0.0
2017-06-09,36.72828002048769,36.72828002048769,34.5580483352118,35.25857925415039,259530800,0.0,0.0
2017-06-12,34.49178498819054,34.57461611560332,33.727349416276496,34.41604995727539,289229200,0.0,0.0
2017-06-13,34.827845219968104,34.89647692038212,34.3521432135415,34.69294357299805,136661600,0.0,0.0
2017-06-14,34.90832165307889,34.90832165307889,34.042121076208645,34.354522705078125,126124800,0.0,0.0
2017-06-15,33.91905733603018,34.19358783526707,33.65635727727027,34.14862060546875,128661600,0.0,0.0
2017-06-16,34.027908782470135,34.19830894987423,33.653975282402484,33.6705436706543,201444400,0.0,0.0
2017-06-19,33.999520568826114,34.7284540432625,33.999520568826114,34.633785247802734,130165600,0.0,0.0
2017-06-20,34.75921157172228,34.75921157172228,34.30244690923402,34.31901168823242,99600400,0.0,0.0
2017-06-21,34.439717549345886,34.569884874783504,34.22435012100773,34.52254867553711,85063200,0.0,0.0
2017-06-22,34.498877184554786,34.71897529914594,34.34504179071957,34.46574401855469,76425200,0.0,0.0
2017-06-23,34.34740289923897,34.82783550181329,34.34266855911077,34.61956787109375,141757600,0.0,0.0
2017-06-26,34.83021313658134,35.09291313196966,34.40658163257409,34.51071548461914,102769600,0.0,0.0
2017-06-27,34.31901566361086,34.591184367205045,33.99004929830626,34.016082763671875,99047600,0.0,0.0
2017-06-28,34.1959483125618,34.57934693660412,33.88118139345811,34.51308059692383,88329600,0.0,0.0
2017-06-29,34.24802713573921,34.347426679790374,33.67292538864454,34.00425720214844,125997600,0.0,0.0
2017-06-30,34.1864701994925,34.307172408023774,34.027904101048264,34.0847053527832,92096400,0.0,0.0
2017-07-03,34.28824800048478,34.38764750967305,33.866981866248665,33.961647033691406,57111200,0.0,0.0
2017-07-05,34.00661123865114,34.26694223167165,33.777044436138766,34.10127639770508,86278400,0.0,0.0
2017-07-06,33.848046628867515,33.96164554707513,33.70367990752773,33.77941131591797,96515200,0.0,0.0
2017-07-07,33.81964480567944,34.25747931919636,33.81964480567944,34.12257766723633,76806800,0.0,0.0
2017-07-10,34.106008617253856,34.541474099802095,33.93087411153063,34.330841064453125,84362400,0.0,0.0
2017-07-11,34.252747496209906,34.51781647799639,34.16991637353806,34.442081451416016,79127200,0.0,0.0
2017-07-12,34.52254733691313,34.595913387157275,34.27405035673003,34.491783142089844,99538000,0.0,0.0
2017-07-13,34.434987229270604,35.14262160021599,34.420787812336144,34.97222137451172,100797600,0.0,0.0
2017-07-14,35.01953488966927,35.341401406066346,34.86806850614379,35.27276611328125,80528400,0.0,0.0
2017-07-17,35.22071259545975,35.712975770158984,35.161545966542164,35.395843505859375,95174000,0.0,0.0
2017-07-18,35.31064177463721,35.5307435018281,35.18520881606122,35.5189094543457,71475200,0.0,0.0
2017-07-19,35.61357684135941,35.83604394747696,35.48814387493049,35.74137878417969,83692000,0.0,0.0
2017-07-20,35.85497452622545,35.911775785918856,35.544941990959465,35.580440521240234,68974800,0.0,0.0
2017-07-21,35.49761077248907,35.60410997865276,35.23491080462168,35.56387710571289,105010400,0.0,0.0
2017-07-24,35.637240914037775,36.077440735032106,35.47630582111004,35.994606018066406,85972800,0.0,0.0
2017-07-25,35.925974234254696,36.40877228934216,35.925974234254696,36.148441314697266,75415600,0.0,0.0
2017-07-26,36.29281419323249,36.4300776041488,36.22417887652963,36.31884765625,63124000,0.0,0.0
